,DATE,HourlyWindSpeed,HourlyPrecipitation
153,2009-01-06 19:51:00,9.0,0.01
154,2009-01-06 20:00:00,10.0,0.01
155,2009-01-06 20:44:00,8.0,0.02
156,2009-01-06 20:51:00,6.0,0.02
158,2009-01-06 22:51:00,9.0,0.01
161,2009-01-06 23:38:00,11.0,0.02
162,2009-01-06 23:51:00,9.0,0.03
164,2009-01-07 00:37:00,11.0,0.03
165,2009-01-07 00:51:00,8.0,0.04
166,2009-01-07 01:04:00,10.0,0.01
167,2009-01-07 01:51:00,10.0,0.06
168,2009-01-07 02:51:00,13.0,0.09
169,2009-01-07 03:51:00,15.0,0.06
170,2009-01-07 04:51:00,16.0,0.07
171,2009-01-07 05:51:00,15.0,0.08
172,2009-01-07 06:51:00,18.0,0.05
173,2009-01-07 07:51:00,18.0,0.11
174,2009-01-07 08:51:00,18.0,0.13
175,2009-01-07 09:00:00,14.0,0.04
176,2009-01-07 09:29:00,15.0,0.1
177,2009-01-07 09:43:00,16.0,0.13
178,2009-01-07 09:51:00,15.0,0.15
179,2009-01-07 10:02:00,17.0,0.02
180,2009-01-07 10:51:00,13.0,0.05
181,2009-01-07 11:00:00,11.0,0.02
182,2009-01-07 11:25:00,9.0,0.08
183,2009-01-07 11:51:00,10.0,0.12
184,2009-01-07 12:51:00,8.0,0.07
185,2009-01-07 13:51:00,10.0,0.03
186,2009-01-07 14:51:00,3.0,0.01
188,2009-01-07 16:51:00,7.0,0.01
189,2009-01-07 17:07:00,5.0,0.03
190,2009-01-07 17:14:00,5.0,0.04
191,2009-01-07 17:38:00,3.0,0.05
192,2009-01-07 17:48:00,3.0,0.06
193,2009-01-07 17:51:00,0.0,0.06
196,2009-01-07 19:24:00,0.0,0.01
197,2009-01-07 19:51:00,6.0,0.01
269,2009-01-10 13:00:00,7.0,0.01
270,2009-01-10 13:15:00,8.0,0.01
271,2009-01-10 13:22:00,8.0,0.01
272,2009-01-10 13:35:00,8.0,0.02
273,2009-01-10 13:51:00,6.0,0.02
275,2009-01-10 14:34:00,10.0,0.01
276,2009-01-10 14:48:00,9.0,0.01
277,2009-01-10 14:51:00,10.0,0.01
284,2009-01-10 16:51:00,5.0,0.03
285,2009-01-10 17:01:00,6.0,0.01
286,2009-01-10 17:19:00,6.0,0.03
287,2009-01-10 17:26:00,10.0,0.04
288,2009-01-10 17:38:00,6.0,0.05
289,2009-01-10 17:49:00,13.0,0.05
290,2009-01-10 17:51:00,9.0,0.05
292,2009-01-10 18:51:00,9.0,0.01
294,2009-01-10 19:40:00,15.0,0.01
295,2009-01-10 19:51:00,13.0,0.01
299,2009-01-10 21:37:00,14.0,0.01
300,2009-01-10 21:51:00,13.0,0.01
307,2009-01-11 01:19:00,6.0,0.01
308,2009-01-11 01:51:00,8.0,0.04
309,2009-01-11 02:04:00,7.0,0.02
310,2009-01-11 02:14:00,11.0,0.03
311,2009-01-11 02:21:00,13.0,0.05
312,2009-01-11 02:30:00,10.0,0.06
313,2009-01-11 02:39:00,8.0,0.07
314,2009-01-11 02:46:00,5.0,0.08
315,2009-01-11 02:51:00,11.0,0.09
317,2009-01-11 03:51:00,10.0,0.01
320,2009-01-11 04:51:00,6.0,0.01
331,2009-01-11 12:51:00,10.0,0.02
332,2009-01-11 13:51:00,9.0,0.02
431,2009-01-15 06:41:00,3.0,0.01
432,2009-01-15 06:51:00,6.0,0.01
436,2009-01-15 07:23:00,5.0,0.01
437,2009-01-15 07:37:00,7.0,0.01
438,2009-01-15 07:51:00,11.0,0.01
442,2009-01-15 08:51:00,10.0,0.01
443,2009-01-15 09:51:00,9.0,0.01
447,2009-01-15 11:29:00,8.0,0.01
448,2009-01-15 11:35:00,6.0,0.01
449,2009-01-15 11:51:00,5.0,0.01
496,2009-01-17 08:51:00,7.0,0.32
497,2009-01-17 09:51:00,5.0,0.87
498,2009-01-17 10:51:00,5.0,0.34
499,2009-01-17 11:51:00,7.0,1.43
500,2009-01-17 12:51:00,5.0,0.23
501,2009-01-17 13:51:00,6.0,0.21
502,2009-01-17 14:51:00,5.0,0.59
503,2009-01-17 15:51:00,0.0,1.07
504,2009-01-17 16:51:00,5.0,1.33
505,2009-01-17 17:51:00,7.0,0.12
506,2009-01-17 18:51:00,0.0,1.41
507,2009-01-17 19:51:00,5.0,0.54
508,2009-01-17 20:51:00,5.0,0.53
509,2009-01-17 21:51:00,7.0,0.69
510,2009-01-17 22:51:00,6.0,1.23
511,2009-01-17 23:21:00,0.0,0.55
512,2009-01-17 23:51:00,0.0,1.03
513,2009-01-18 00:16:00,0.0,0.22
514,2009-01-18 00:51:00,7.0,0.73
515,2009-01-18 01:51:00,5.0,0.4
516,2009-01-18 02:51:00,7.0,0.32
517,2009-01-18 03:51:00,6.0,0.35
518,2009-01-18 04:51:00,7.0,0.18
519,2009-01-18 05:51:00,0.0,0.3
520,2009-01-18 06:51:00,3.0,0.72
521,2009-01-18 07:14:00,6.0,0.1
522,2009-01-18 07:23:00,5.0,0.21
523,2009-01-18 07:51:00,5.0,0.21
524,2009-01-18 08:05:00,3.0,0.02
525,2009-01-18 08:43:00,6.0,0.33
526,2009-01-18 08:51:00,3.0,0.33
527,2009-01-18 09:02:00,5.0,0.05
528,2009-01-18 09:05:00,7.0,0.06
529,2009-01-18 09:37:00,5.0,0.13
530,2009-01-18 09:51:00,3.0,0.29
531,2009-01-18 10:51:00,5.0,0.16
532,2009-01-18 11:51:00,6.0,0.12
533,2009-01-18 12:51:00,6.0,0.07
534,2009-01-18 13:51:00,8.0,0.1
803,2009-01-28 01:51:00,9.0,0.02
806,2009-01-28 02:51:00,7.0,0.01
807,2009-01-28 03:06:00,9.0,0.01
808,2009-01-28 03:31:00,9.0,0.02
809,2009-01-28 03:38:00,11.0,0.03
810,2009-01-28 03:51:00,9.0,0.04
811,2009-01-28 04:13:00,9.0,0.01
812,2009-01-28 04:51:00,10.0,0.04
813,2009-01-28 05:10:00,7.0,0.02
814,2009-01-28 05:51:00,10.0,0.05
815,2009-01-28 06:16:00,9.0,0.02
816,2009-01-28 06:39:00,8.0,0.04
817,2009-01-28 06:46:00,10.0,0.05
818,2009-01-28 06:51:00,9.0,0.05
819,2009-01-28 07:51:00,10.0,0.06
820,2009-01-28 08:17:00,9.0,0.05
821,2009-01-28 08:19:00,8.0,0.05
822,2009-01-28 08:46:00,10.0,0.09
823,2009-01-28 08:51:00,11.0,0.1
824,2009-01-28 09:02:00,11.0,0.01
825,2009-01-28 09:29:00,8.0,0.05
826,2009-01-28 09:39:00,7.0,0.06
827,2009-01-28 09:48:00,8.0,0.08
828,2009-01-28 10:00:00,9.0,0.02
829,2009-01-28 10:19:00,9.0,0.06
830,2009-01-28 10:37:00,10.0,0.09
831,2009-01-28 10:51:00,6.0,0.14
832,2009-01-28 11:33:00,9.0,0.07
833,2009-01-28 11:44:00,5.0,0.08
834,2009-01-28 11:51:00,11.0,0.09
835,2009-01-28 12:07:00,9.0,0.01
836,2009-01-28 12:51:00,10.0,0.06
837,2009-01-28 13:04:00,9.0,0.01
838,2009-01-28 13:16:00,10.0,0.02
839,2009-01-28 13:26:00,5.0,0.02
840,2009-01-28 13:51:00,7.0,0.02
841,2009-01-28 14:51:00,6.0,0.01
843,2009-01-28 15:38:00,6.0,0.01
844,2009-01-28 15:46:00,7.0,0.01
845,2009-01-28 15:51:00,5.0,0.01
846,2009-01-28 16:36:00,5.0,0.11
847,2009-01-28 16:51:00,13.0,0.12
849,2009-01-28 17:03:00,3.0,0.01
850,2009-01-28 17:10:00,5.0,0.03
851,2009-01-28 17:25:00,5.0,0.04
852,2009-01-28 17:34:00,13.0,0.05
853,2009-01-28 17:47:00,7.0,0.05
854,2009-01-28 17:51:00,5.0,0.06
859,2009-01-28 19:51:00,10.0,0.01
991,2009-02-03 01:19:00,6.0,0.01
992,2009-02-03 01:45:00,8.0,0.01
993,2009-02-03 01:51:00,7.0,0.01
995,2009-02-03 02:06:00,7.0,0.01
996,2009-02-03 02:13:00,7.0,0.01
997,2009-02-03 02:51:00,7.0,0.01
1010,2009-02-03 09:51:00,8.0,0.01
1011,2009-02-03 10:51:00,10.0,0.01
1013,2009-02-03 11:43:00,9.0,0.02
1014,2009-02-03 11:51:00,7.0,0.02
1016,2009-02-03 12:26:00,10.0,0.02
1017,2009-02-03 12:51:00,5.0,0.03
1018,2009-02-03 13:05:00,8.0,0.01
1019,2009-02-03 13:22:00,3.0,0.02
1020,2009-02-03 13:51:00,14.0,0.04
1021,2009-02-03 14:51:00,10.0,0.02
1022,2009-02-03 15:51:00,8.0,0.04
1023,2009-02-03 16:20:00,11.0,0.03
1024,2009-02-03 16:30:00,7.0,0.03
1025,2009-02-03 16:51:00,9.0,0.04
1028,2009-02-03 17:28:00,13.0,0.01
1029,2009-02-03 17:48:00,8.0,0.01
1030,2009-02-03 17:51:00,8.0,0.02
1032,2009-02-03 18:40:00,9.0,0.03
1033,2009-02-03 18:51:00,7.0,0.03
1234,2009-02-11 23:51:00,10.0,0.02
1236,2009-02-12 00:34:00,5.0,0.1
1237,2009-02-12 00:46:00,7.0,0.13
1238,2009-02-12 00:51:00,6.0,0.13
1394,2009-02-18 13:18:00,14.0,0.01
1395,2009-02-18 13:36:00,9.0,0.01
1396,2009-02-18 13:51:00,5.0,0.01
1399,2009-02-18 15:44:00,8.0,0.03
1400,2009-02-18 15:51:00,8.0,0.04
1401,2009-02-18 16:04:00,3.0,0.02
1402,2009-02-18 16:16:00,7.0,0.03
1403,2009-02-18 16:51:00,6.0,0.08
1404,2009-02-18 17:06:00,10.0,0.02
1405,2009-02-18 17:51:00,3.0,0.04
1406,2009-02-18 18:51:00,10.0,0.03
1407,2009-02-18 19:51:00,8.0,0.04
1408,2009-02-18 20:51:00,7.0,0.07
1412,2009-02-18 22:40:00,5.0,0.01
1413,2009-02-18 22:51:00,0.0,0.01
1421,2009-02-19 03:51:00,6.0,0.01
1506,2009-02-22 11:51:00,5.0,0.01
1508,2009-02-22 13:51:00,9.0,0.01
1510,2009-02-22 14:51:00,9.0,0.01
1511,2009-02-22 15:51:00,11.0,0.01
1512,2009-02-22 16:51:00,8.0,0.02
1513,2009-02-22 17:47:00,11.0,0.01
1514,2009-02-22 17:51:00,8.0,0.01
1628,2009-02-27 17:51:00,11.0,0.02
1629,2009-02-27 18:51:00,8.0,0.01
1630,2009-02-27 19:51:00,7.0,0.01
1671,2009-03-01 05:32:00,13.0,0.01
1672,2009-03-01 05:51:00,10.0,0.02
1689,2009-03-01 21:18:00,13.0,0.01
1690,2009-03-01 21:51:00,11.0,0.03
1691,2009-03-01 22:08:00,11.0,0.01
1692,2009-03-01 22:19:00,14.0,0.02
1693,2009-03-01 22:44:00,9.0,0.04
1694,2009-03-01 22:51:00,11.0,0.04
1695,2009-03-01 23:19:00,8.0,0.01
1696,2009-03-01 23:38:00,11.0,0.03
1697,2009-03-01 23:51:00,10.0,0.05
1699,2009-03-02 00:15:00,10.0,0.02
1700,2009-03-02 00:44:00,9.0,0.04
1701,2009-03-02 00:51:00,10.0,0.05
1702,2009-03-02 01:51:00,8.0,0.07
1703,2009-03-02 02:15:00,10.0,0.04
1704,2009-03-02 02:23:00,11.0,0.05
1705,2009-03-02 02:51:00,9.0,0.1
1706,2009-03-02 03:51:00,16.0,0.12
1707,2009-03-02 04:24:00,17.0,0.03
1708,2009-03-02 04:32:00,11.0,0.03
1709,2009-03-02 04:51:00,16.0,0.03
1710,2009-03-02 05:00:00,10.0,0.01
1711,2009-03-02 05:10:00,14.0,0.02
1712,2009-03-02 05:30:00,14.0,0.04
1713,2009-03-02 05:38:00,14.0,0.04
1714,2009-03-02 05:48:00,13.0,0.04
1715,2009-03-02 05:51:00,15.0,0.04
1717,2009-03-02 06:40:00,13.0,0.01
1718,2009-03-02 06:51:00,10.0,0.01
1723,2009-03-02 08:27:00,8.0,0.01
1724,2009-03-02 08:49:00,7.0,0.01
1725,2009-03-02 08:51:00,8.0,0.01
1726,2009-03-02 09:00:00,11.0,0.01
1727,2009-03-02 09:22:00,13.0,0.02
1728,2009-03-02 09:51:00,15.0,0.05
1818,2009-03-06 01:51:00,7.0,0.01
1901,2009-03-09 08:51:00,8.0,0.02
1902,2009-03-09 09:13:00,8.0,0.01
1903,2009-03-09 09:20:00,6.0,0.02
1904,2009-03-09 09:51:00,14.0,0.04
1905,2009-03-09 10:51:00,7.0,0.03
1909,2009-03-09 13:10:00,7.0,0.01
1910,2009-03-09 13:47:00,7.0,0.01
1911,2009-03-09 13:51:00,7.0,0.01
1932,2009-03-10 01:34:00,3.0,0.01
1933,2009-03-10 01:51:00,0.0,0.01
2178,2009-03-19 10:51:00,8.0,0.02
2179,2009-03-19 11:51:00,8.0,0.04
2180,2009-03-19 12:04:00,9.0,0.01
2181,2009-03-19 12:51:00,7.0,0.05
2182,2009-03-19 13:06:00,5.0,0.01
2183,2009-03-19 13:51:00,5.0,0.02
2212,2009-03-20 07:23:00,3.0,0.02
2213,2009-03-20 07:32:00,6.0,0.02
2214,2009-03-20 07:38:00,7.0,0.03
2215,2009-03-20 07:51:00,7.0,0.03
2216,2009-03-20 08:30:00,7.0,0.01
2217,2009-03-20 08:51:00,9.0,0.01
2380,2009-03-26 16:51:00,5.0,0.01
2381,2009-03-26 17:06:00,3.0,0.02
2382,2009-03-26 17:20:00,5.0,0.04
2383,2009-03-26 17:51:00,6.0,0.05
2384,2009-03-26 18:51:00,5.0,0.04
2385,2009-03-26 19:51:00,0.0,0.05
2386,2009-03-26 20:14:00,0.0,0.05
2387,2009-03-26 20:51:00,3.0,0.22
2388,2009-03-26 21:00:00,3.0,0.01
2389,2009-03-26 21:41:00,3.0,0.03
2390,2009-03-26 21:51:00,3.0,0.03
2429,2009-03-28 04:51:00,5.0,0.02
2430,2009-03-28 05:51:00,7.0,0.01
2457,2009-03-28 23:51:00,9.0,0.01
2459,2009-03-29 00:14:00,13.0,0.02
2460,2009-03-29 00:51:00,9.0,0.02
2465,2009-03-29 03:51:00,7.0,0.02
2466,2009-03-29 04:51:00,9.0,0.04
2467,2009-03-29 05:46:00,11.0,0.04
2468,2009-03-29 05:51:00,13.0,0.1
2469,2009-03-29 06:00:00,11.0,0.02
2470,2009-03-29 06:09:00,9.0,0.04
2471,2009-03-29 06:16:00,10.0,0.04
2472,2009-03-29 06:51:00,13.0,0.06
2483,2009-03-29 12:51:00,6.0,0.01
2500,2009-03-29 19:33:00,7.0,0.05
2501,2009-03-29 19:48:00,7.0,0.07
2508,2009-03-29 22:51:00,8.0,0.01
2509,2009-03-29 23:51:00,5.0,0.05
2583,2009-04-01 15:51:00,5.0,0.01
2584,2009-04-01 16:51:00,10.0,0.01
2585,2009-04-01 17:42:00,7.0,0.04
2586,2009-04-01 17:51:00,6.0,0.08
2587,2009-04-01 18:01:00,10.0,0.02
2588,2009-04-01 18:26:00,5.0,0.03
2589,2009-04-01 18:51:00,8.0,0.03
2590,2009-04-01 19:37:00,5.0,0.03
2591,2009-04-01 19:47:00,3.0,0.03
2592,2009-04-01 19:51:00,6.0,0.03
2593,2009-04-01 20:51:00,3.0,0.01
2594,2009-04-01 21:27:00,5.0,0.07
2595,2009-04-01 21:51:00,5.0,0.12
2597,2009-04-01 22:15:00,8.0,0.02
2598,2009-04-01 22:46:00,0.0,0.06
2599,2009-04-01 22:51:00,5.0,0.07
2607,2009-04-02 01:27:00,6.0,0.01
2608,2009-04-02 01:51:00,0.0,0.01
2657,2009-04-03 04:35:00,8.0,0.01
2658,2009-04-03 04:51:00,8.0,0.01
2659,2009-04-03 05:01:00,11.0,0.01
2660,2009-04-03 05:44:00,8.0,0.03
2661,2009-04-03 05:51:00,9.0,0.03
2663,2009-04-03 06:51:00,9.0,0.01
2665,2009-04-03 07:51:00,8.0,0.04
2666,2009-04-03 08:00:00,6.0,0.02
2667,2009-04-03 08:51:00,8.0,0.14
2668,2009-04-03 09:09:00,10.0,0.07
2669,2009-04-03 09:34:00,11.0,0.1
2670,2009-04-03 09:41:00,10.0,0.11
2671,2009-04-03 09:51:00,7.0,0.12
2672,2009-04-03 10:00:00,8.0,0.02
2673,2009-04-03 10:08:00,8.0,0.02
2674,2009-04-03 10:25:00,10.0,0.03
2675,2009-04-03 10:32:00,9.0,0.03
2676,2009-04-03 10:48:00,10.0,0.07
2677,2009-04-03 10:51:00,9.0,0.07
2680,2009-04-03 11:51:00,7.0,0.03
2681,2009-04-03 12:00:00,11.0,0.01
2682,2009-04-03 12:24:00,8.0,0.03
2683,2009-04-03 12:28:00,8.0,0.03
2684,2009-04-03 12:36:00,8.0,0.03
2685,2009-04-03 12:40:00,7.0,0.03
2686,2009-04-03 12:51:00,7.0,0.35
2687,2009-04-03 13:07:00,6.0,0.09
2688,2009-04-03 13:11:00,6.0,0.09
2689,2009-04-03 13:34:00,8.0,0.1
2690,2009-04-03 13:51:00,6.0,0.1
2700,2009-04-03 19:51:00,8.0,0.01
2762,2009-04-06 07:28:00,14.0,0.04
2763,2009-04-06 07:45:00,10.0,0.09
2764,2009-04-06 07:51:00,10.0,0.1
2765,2009-04-06 08:11:00,7.0,0.01
2766,2009-04-06 08:51:00,8.0,0.05
2769,2009-04-06 10:51:00,7.0,0.08
2771,2009-04-06 11:04:00,5.0,0.02
2772,2009-04-06 11:30:00,8.0,0.08
2773,2009-04-06 11:51:00,5.0,0.08
2774,2009-04-06 12:21:00,6.0,0.03
2775,2009-04-06 12:30:00,11.0,0.05
2776,2009-04-06 12:51:00,0.0,0.05
2777,2009-04-06 13:21:00,5.0,0.01
2778,2009-04-06 13:32:00,6.0,0.03
2779,2009-04-06 13:39:00,5.0,0.03
2780,2009-04-06 13:51:00,9.0,0.03
2781,2009-04-06 14:51:00,8.0,0.04
2782,2009-04-06 15:04:00,6.0,0.05
2783,2009-04-06 15:27:00,9.0,0.1
2784,2009-04-06 15:41:00,13.0,0.12
2785,2009-04-06 15:48:00,14.0,0.12
2786,2009-04-06 15:51:00,10.0,0.12
2793,2009-04-06 21:48:00,3.0,0.01
2794,2009-04-06 21:51:00,5.0,0.01
2911,2009-04-11 07:51:00,13.0,0.02
2913,2009-04-11 08:15:00,13.0,0.02
2914,2009-04-11 08:46:00,10.0,0.07
2915,2009-04-11 08:51:00,9.0,0.08
2916,2009-04-11 09:09:00,14.0,0.03
2917,2009-04-11 09:34:00,13.0,0.07
2918,2009-04-11 09:51:00,13.0,0.1
2919,2009-04-11 10:00:00,14.0,0.01
2920,2009-04-11 10:51:00,9.0,0.09
2921,2009-04-11 11:51:00,9.0,0.05
2922,2009-04-11 12:14:00,9.0,0.03
2923,2009-04-11 12:29:00,3.0,0.04
2924,2009-04-11 12:33:00,3.0,0.05
2925,2009-04-11 12:51:00,6.0,0.09
2926,2009-04-11 13:11:00,7.0,0.03
2927,2009-04-11 13:51:00,9.0,0.08
2928,2009-04-11 14:25:00,8.0,0.04
2929,2009-04-11 14:51:00,6.0,0.05
3008,2009-04-14 16:51:00,14.0,0.02
3010,2009-04-14 17:51:00,11.0,0.01
3011,2009-04-14 18:51:00,9.0,0.02
3013,2009-04-14 20:51:00,10.0,0.04
3014,2009-04-14 21:13:00,14.0,0.01
3015,2009-04-14 21:51:00,13.0,0.05
3016,2009-04-14 22:51:00,13.0,0.02
3017,2009-04-14 23:51:00,11.0,0.01
3019,2009-04-15 00:51:00,14.0,0.03
3020,2009-04-15 01:05:00,15.0,0.01
3021,2009-04-15 01:51:00,14.0,0.1
3022,2009-04-15 02:35:00,17.0,0.01
3023,2009-04-15 02:51:00,11.0,0.02
3026,2009-04-15 04:51:00,10.0,0.02
3028,2009-04-15 06:33:00,11.0,0.01
3029,2009-04-15 06:51:00,9.0,0.02
3030,2009-04-15 07:51:00,16.0,0.01
3156,2009-04-20 12:51:00,13.0,0.02
3157,2009-04-20 13:00:00,16.0,0.01
3158,2009-04-20 13:14:00,17.0,0.04
3159,2009-04-20 13:51:00,11.0,0.06
3160,2009-04-20 14:00:00,15.0,0.03
3161,2009-04-20 14:20:00,17.0,0.09
3162,2009-04-20 14:31:00,11.0,0.1
3163,2009-04-20 14:51:00,18.0,0.11
3164,2009-04-20 15:12:00,14.0,0.01
3165,2009-04-20 15:51:00,13.0,0.02
3166,2009-04-20 16:21:00,16.0,0.03
3167,2009-04-20 16:51:00,14.0,0.16
3169,2009-04-20 17:03:00,13.0,0.01
3170,2009-04-20 17:51:00,15.0,0.04
3171,2009-04-20 18:12:00,15.0,0.02
3172,2009-04-20 18:34:00,17.0,0.17
3173,2009-04-20 18:47:00,17.0,0.21
3174,2009-04-20 18:51:00,17.0,0.22
3175,2009-04-20 19:18:00,16.0,0.06
3176,2009-04-20 19:33:00,13.0,0.09
3177,2009-04-20 19:51:00,15.0,0.12
3178,2009-04-20 20:10:00,16.0,0.03
3179,2009-04-20 20:19:00,10.0,0.07
3180,2009-04-20 20:51:00,10.0,0.28
3181,2009-04-20 21:31:00,9.0,0.31
3182,2009-04-20 21:47:00,13.0,0.44
3183,2009-04-20 21:51:00,13.0,0.48
3184,2009-04-20 22:09:00,6.0,0.14
3185,2009-04-20 22:51:00,8.0,0.25
3186,2009-04-20 23:51:00,7.0,0.03
3192,2009-04-21 02:44:00,15.0,0.01
3193,2009-04-21 02:51:00,11.0,0.01
3230,2009-04-21 22:51:00,5.0,0.05
3231,2009-04-21 23:00:00,3.0,0.02
3232,2009-04-21 23:51:00,0.0,0.03
3248,2009-04-22 12:51:00,0.0,0.02
3249,2009-04-22 13:32:00,6.0,0.01
3250,2009-04-22 13:51:00,7.0,0.02
3460,2009-05-01 02:51:00,6.0,0.02
3485,2009-05-01 15:15:00,7.0,0.01
3486,2009-05-01 15:24:00,6.0,0.09
3487,2009-05-01 15:31:00,6.0,0.11
3488,2009-05-01 15:36:00,6.0,0.13
3489,2009-05-01 15:44:00,6.0,0.14
3490,2009-05-01 15:51:00,5.0,0.15
3494,2009-05-01 17:13:00,5.0,0.01
3495,2009-05-01 17:22:00,7.0,0.04
3496,2009-05-01 17:32:00,6.0,0.17
3497,2009-05-01 17:43:00,3.0,0.19
3498,2009-05-01 17:50:00,5.0,0.19
3502,2009-05-01 18:51:00,5.0,0.01
3504,2009-05-01 19:27:00,6.0,0.02
3505,2009-05-01 19:36:00,8.0,0.05
3506,2009-05-01 19:44:00,5.0,0.05
3507,2009-05-01 19:51:00,3.0,0.05
3534,2009-05-02 03:51:00,7.0,0.05
3535,2009-05-02 04:03:00,8.0,0.02
3536,2009-05-02 04:51:00,6.0,0.06
3565,2009-05-03 07:25:00,0.0,0.01
3566,2009-05-03 07:29:00,0.0,0.01
3567,2009-05-03 07:46:00,0.0,0.02
3568,2009-05-03 07:51:00,0.0,0.02
3571,2009-05-03 08:29:00,5.0,0.01
3572,2009-05-03 08:51:00,5.0,0.01
3574,2009-05-03 09:51:00,5.0,0.01
3575,2009-05-03 10:05:00,5.0,0.01
3576,2009-05-03 10:43:00,3.0,0.02
3577,2009-05-03 10:51:00,0.0,0.03
3578,2009-05-03 11:02:00,0.0,0.01
3579,2009-05-03 11:08:00,3.0,0.02
3580,2009-05-03 11:15:00,5.0,0.02
3581,2009-05-03 11:26:00,3.0,0.04
3582,2009-05-03 11:51:00,0.0,0.09
3583,2009-05-03 12:00:00,0.0,0.01
3584,2009-05-03 12:08:00,5.0,0.02
3585,2009-05-03 12:15:00,3.0,0.04
3586,2009-05-03 12:51:00,5.0,0.12
3587,2009-05-03 13:16:00,6.0,0.05
3588,2009-05-03 13:28:00,8.0,0.05
3589,2009-05-03 13:51:00,6.0,0.06
3592,2009-05-03 14:24:00,0.0,0.01
3593,2009-05-03 14:51:00,8.0,0.02
3597,2009-05-03 15:51:00,7.0,0.01
3598,2009-05-03 16:29:00,6.0,0.01
3599,2009-05-03 16:51:00,6.0,0.01
3601,2009-05-03 17:42:00,7.0,0.01
3602,2009-05-03 17:51:00,5.0,0.01
3604,2009-05-03 19:40:00,0.0,0.01
3605,2009-05-03 19:51:00,3.0,0.01
3618,2009-05-03 23:13:00,0.0,0.01
3619,2009-05-03 23:20:00,3.0,0.01
3620,2009-05-03 23:28:00,0.0,0.01
3621,2009-05-03 23:51:00,3.0,0.01
3623,2009-05-04 00:07:00,0.0,0.01
3624,2009-05-04 00:14:00,3.0,0.01
3625,2009-05-04 00:24:00,0.0,0.02
3626,2009-05-04 00:40:00,0.0,0.02
3627,2009-05-04 00:51:00,3.0,0.03
3632,2009-05-04 01:41:00,3.0,0.01
3633,2009-05-04 01:48:00,0.0,0.01
3634,2009-05-04 01:51:00,0.0,0.01
3635,2009-05-04 02:11:00,0.0,0.01
3636,2009-05-04 02:28:00,3.0,0.01
3637,2009-05-04 02:51:00,6.0,0.03
3638,2009-05-04 03:23:00,3.0,0.01
3639,2009-05-04 03:31:00,0.0,0.02
3640,2009-05-04 03:51:00,0.0,0.03
3641,2009-05-04 04:24:00,0.0,0.01
3642,2009-05-04 04:30:00,3.0,0.01
3643,2009-05-04 04:37:00,3.0,0.01
3644,2009-05-04 04:51:00,5.0,0.02
3645,2009-05-04 05:23:00,0.0,0.01
3646,2009-05-04 05:51:00,0.0,0.01
3647,2009-05-04 06:42:00,0.0,0.01
3648,2009-05-04 06:48:00,0.0,0.01
3649,2009-05-04 06:51:00,3.0,0.01
3653,2009-05-04 07:39:00,3.0,0.01
3654,2009-05-04 07:49:00,3.0,0.01
3655,2009-05-04 07:51:00,3.0,0.01
3656,2009-05-04 08:42:00,7.0,0.01
3657,2009-05-04 08:49:00,6.0,0.01
3658,2009-05-04 08:51:00,6.0,0.01
3661,2009-05-04 10:36:00,7.0,0.01
3662,2009-05-04 10:51:00,3.0,0.01
3665,2009-05-04 12:10:00,5.0,0.02
3666,2009-05-04 12:19:00,9.0,0.02
3667,2009-05-04 12:44:00,5.0,0.03
3668,2009-05-04 12:51:00,0.0,0.04
3669,2009-05-04 13:10:00,10.0,0.01
3670,2009-05-04 13:20:00,7.0,0.01
3671,2009-05-04 13:28:00,7.0,0.01
3672,2009-05-04 13:51:00,9.0,0.02
3674,2009-05-04 14:44:00,7.0,0.01
3675,2009-05-04 14:51:00,0.0,0.01
3676,2009-05-04 15:06:00,8.0,0.01
3677,2009-05-04 15:15:00,7.0,0.01
3678,2009-05-04 15:51:00,11.0,0.01
3679,2009-05-04 16:51:00,5.0,0.01
3680,2009-05-04 17:03:00,3.0,0.04
3681,2009-05-04 17:12:00,5.0,0.04
3682,2009-05-04 17:29:00,7.0,0.06
3683,2009-05-04 17:37:00,6.0,0.06
3684,2009-05-04 17:51:00,3.0,0.06
3685,2009-05-04 18:51:00,6.0,0.02
3688,2009-05-04 20:11:00,10.0,0.01
3689,2009-05-04 20:25:00,14.0,0.01
3690,2009-05-04 20:33:00,8.0,0.01
3691,2009-05-04 20:51:00,9.0,0.01
3712,2009-05-05 05:51:00,9.0,0.01
3719,2009-05-05 07:51:00,15.0,0.02
3720,2009-05-05 08:00:00,11.0,0.01
3721,2009-05-05 08:04:00,9.0,0.01
3722,2009-05-05 08:11:00,11.0,0.01
3723,2009-05-05 08:18:00,8.0,0.01
3724,2009-05-05 08:26:00,14.0,0.01
3725,2009-05-05 08:46:00,15.0,0.03
3726,2009-05-05 08:51:00,10.0,0.03
3727,2009-05-05 09:09:00,14.0,0.01
3728,2009-05-05 09:15:00,13.0,0.01
3729,2009-05-05 09:29:00,13.0,0.01
3730,2009-05-05 09:42:00,15.0,0.01
3731,2009-05-05 09:51:00,14.0,0.01
3733,2009-05-05 10:29:00,11.0,0.01
3734,2009-05-05 10:42:00,9.0,0.02
3735,2009-05-05 10:50:00,8.0,0.02
3738,2009-05-05 11:37:00,10.0,0.01
3739,2009-05-05 11:51:00,7.0,0.01
3759,2009-05-05 20:14:00,7.0,0.03
3760,2009-05-05 20:32:00,9.0,0.03
